connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=PHONE_NUMBER3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=PHONE_NUMBER
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=HIRE_DATE3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=HIRE_DATE
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=JOB_ID3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=JOB_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=SALARY3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=SALARY
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=COMMISSION_PCT3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=COMMISSION_PCT
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=MANAGER_ID3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=MANAGER_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=DEPARTMENT_ID3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=DEPARTMENT_ID
connector:fromInstance=EMPLOYEES, fromField=EMPLOYEE_ID, toInstance=SQ_EMPLOYEES, toField=EMPLOYEE_ID
connector:fromInstance=EMPLOYEES, fromField=FIRST_NAME, toInstance=SQ_EMPLOYEES, toField=FIRST_NAME
connector:fromInstance=EMPLOYEES, fromField=LAST_NAME, toInstance=SQ_EMPLOYEES, toField=LAST_NAME
connector:fromInstance=EMPLOYEES, fromField=EMAIL, toInstance=SQ_EMPLOYEES, toField=EMAIL
connector:fromInstance=EMPLOYEES, fromField=PHONE_NUMBER, toInstance=SQ_EMPLOYEES, toField=PHONE_NUMBER
connector:fromInstance=EMPLOYEES, fromField=HIRE_DATE, toInstance=SQ_EMPLOYEES, toField=HIRE_DATE
connector:fromInstance=EMPLOYEES, fromField=JOB_ID, toInstance=SQ_EMPLOYEES, toField=JOB_ID
connector:fromInstance=EMPLOYEES, fromField=SALARY, toInstance=SQ_EMPLOYEES, toField=SALARY
connector:fromInstance=EMPLOYEES, fromField=COMMISSION_PCT, toInstance=SQ_EMPLOYEES, toField=COMMISSION_PCT
connector:fromInstance=EMPLOYEES, fromField=MANAGER_ID, toInstance=SQ_EMPLOYEES, toField=MANAGER_ID
connector:fromInstance=EMPLOYEES, fromField=DEPARTMENT_ID, toInstance=SQ_EMPLOYEES, toField=DEPARTMENT_ID
connector:fromInstance=SQ_EMPLOYEES, fromField=EMPLOYEE_ID, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=EMPLOYEE_ID
connector:fromInstance=SQ_EMPLOYEES, fromField=FIRST_NAME, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=FIRST_NAME
connector:fromInstance=SQ_EMPLOYEES, fromField=LAST_NAME, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=LAST_NAME
connector:fromInstance=SQ_EMPLOYEES, fromField=EMAIL, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=EMAIL
connector:fromInstance=SQ_EMPLOYEES, fromField=PHONE_NUMBER, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=PHONE_NUMBER
connector:fromInstance=SQ_EMPLOYEES, fromField=HIRE_DATE, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=HIRE_DATE
connector:fromInstance=SQ_EMPLOYEES, fromField=JOB_ID, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=JOB_ID
connector:fromInstance=SQ_EMPLOYEES, fromField=SALARY, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=SALARY
connector:fromInstance=SQ_EMPLOYEES, fromField=COMMISSION_PCT, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=COMMISSION_PCT
connector:fromInstance=SQ_EMPLOYEES, fromField=MANAGER_ID, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=MANAGER_ID
connector:fromInstance=SQ_EMPLOYEES, fromField=DEPARTMENT_ID, toInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, toField=DEPARTMENT_ID
